date,CPI,CPI_MoM,cancel_search
2024-01-01,137.798,,35
2024-02-01,138.0,0.1466,37
2024-03-01,137.868,-0.0957,28
2024-04-01,138.193,0.2357,26
2024-05-01,137.929,-0.191,23
2024-06-01,138.051,0.0885,26
2024-07-01,138.237,0.1347,22
2024-08-01,138.225,-0.0087,23
2024-09-01,137.728,-0.3596,38
2024-10-01,138.37,0.4661,32
2024-11-01,138.766,0.2862,29
2024-12-01,138.753,-0.0094,39
2025-01-01,140.047,0.9326,44
2025-02-01,140.445,0.2842,47
2025-03-01,140.417,-0.0199,30
2025-04-01,140.393,-0.0171,33
2025-05-01,140.423,0.0214,30
2025-06-01,140.881,0.3262,35
2025-07-01,141.544,0.4706,45
2025-08-01,141.409,-0.0954,34
2025-09-01,141.93,0.3684,47
2025-10-01,,,39
2025-11-01,141.262,,100
2025-12-01,142.932,1.1822,60
2026-01-01,143.616,0.4785,72
2026-02-01,,,73
