date,CPI,CPI_MoM,cancel_search
2024-01-01,137.798,,35
2024-02-01,138.0,0.1465913873931468,37
2024-03-01,137.868,-0.09565217391305225,28
2024-04-01,138.193,0.23573272985755178,26
2024-05-01,137.929,-0.19103717264985498,23
2024-06-01,138.051,0.08845130465673368,26
2024-07-01,138.237,0.13473281613316512,22
2024-08-01,138.225,-0.008680743939759594,23
2024-09-01,137.728,-0.3595586905407733,38
2024-10-01,138.37,0.4661361524163521,32
2024-11-01,138.766,0.2861892028618751,29
2024-12-01,138.753,-0.009368289062161583,39
2025-01-01,140.047,0.9325924484515635,44
2025-02-01,140.445,0.2841903075396113,47
2025-03-01,140.417,-0.01993662999749679,30
2025-04-01,140.393,-0.017091947556213682,33
2025-05-01,140.423,0.02136858675290121,30
2025-06-01,140.881,0.32615739586818737,35
2025-07-01,141.544,0.4706099474024228,45
2025-08-01,141.409,-0.09537670265078457,34
2025-09-01,141.93,0.36843482380897186,47
2025-10-01,,,39
2025-11-01,141.262,,100
2025-12-01,142.932,1.1822004502272332,60
2026-01-01,143.616,0.47854924019814504,72
2026-02-01,,,73
