Segment,PriceTier,Segment_Type,Churn_Rate,Source
Fresh (<3mo),All,All,0.5909,EDA01_Segment
Inflection (3-5mo),All,All,0.4777,EDA01_Segment
Pre-Inflection (5+mo),All,All,0.2006,EDA01_Segment
All,All,Family,16.3188,EDA02_SegmentType
All,All,Individual,24.6145,EDA02_SegmentType
Fresh (<3mo),Low,Family,44.1558,EDA03_SegmentTier
Fresh (<3mo),Low,Individual,43.2653,EDA03_SegmentTier
Fresh (<3mo),Medium,Family,63.1579,EDA03_SegmentTier
Fresh (<3mo),Medium,Individual,75.0,EDA03_SegmentTier
Fresh (<3mo),High,Family,83.3333,EDA03_SegmentTier
Fresh (<3mo),High,Individual,87.8049,EDA03_SegmentTier
Inflection (3-5mo),Low,Family,25.0,EDA03_SegmentTier
Inflection (3-5mo),Low,Individual,36.4486,EDA03_SegmentTier
Inflection (3-5mo),Medium,Family,64.4444,EDA03_SegmentTier
Inflection (3-5mo),Medium,Individual,47.9339,EDA03_SegmentTier
Inflection (3-5mo),High,Family,86.3636,EDA03_SegmentTier
Inflection (3-5mo),High,Individual,67.3469,EDA03_SegmentTier
Pre-Inflection (5+mo),Low,Family,6.4185,EDA03_SegmentTier
Pre-Inflection (5+mo),Low,Individual,9.9265,EDA03_SegmentTier
Pre-Inflection (5+mo),Medium,Family,16.1049,EDA03_SegmentTier
Pre-Inflection (5+mo),Medium,Individual,22.335,EDA03_SegmentTier
Pre-Inflection (5+mo),High,Family,23.7288,EDA03_SegmentTier
Pre-Inflection (5+mo),High,Individual,39.3841,EDA03_SegmentTier
